347976 [0.4521437075035796, 0.07769258116014321, 0.2701607296995603, 0.018224381427278624, 0.6338443646708585, 0.0934383482524832]
508074 [0.7370172934524468, 0.12397753762638242, 0.39718700122741235, 0.024625777776756275, 0.8440695224728596, 0.14422446764665509]
691948 [0.5917944619350523, 0.1073428348638934, 0.3916613022032731, 0.0602613207051618, 0.7490130211786507, 0.13332411840036995]
1022635 [0.6740771880791285, 0.11922837146914578, 0.359491993662317, 0.061707829781650375, 0.7168557726149101, 0.1264498919368563]
1499190 [0.6606886466019546, 0.1159148125444952, 0.40387623384485793, 0.028308161490068297, 0.7787869515557043, 0.09754398560341981]
1510202 [0.7424580705331525, 0.13145199909329475, 0.43683137840445174, 0.05647733833874624, 0.6989153793461174, 0.127779048765031]
1819907 [0.6633582016951585, 0.10527819819039119, 0.3307842779372604, 0.03246057232408508, 0.6912654951460856, 0.11451715626074521]
2112594 [0.696408957340153, 0.07332831576463128, 0.2580285954031625, 0.02153485496659635, 0.1931235071693692, 0.08345135304600737]
2214770 [0.621533949940166, 0.08294602718691801, 0.31731277466079033, 0.03019898894041182, 0.44151651633609235, 0.09777766755211681]
2456898 [0.6745569412415418, 0.11488538448942287, 0.40841974056137376, 0.043479891643430385, 0.796683294346922, 0.1498117459946835]
347976 [0.4521437075035796, 0.07769258116014321, 0.2701607296995603, 0.018224381427278624, 0.6338443646708585, 0.0934383482524832]
508074 [0.7370172934524468, 0.12397753762638242, 0.39718700122741235, 0.024625777776756275, 0.8440695224728596, 0.14422446764665509]
691948 [0.5917944619350523, 0.1073428348638934, 0.3916613022032731, 0.0602613207051618, 0.7490130211786507, 0.13332411840036995]
1022635 [0.6740771880791285, 0.11922837146914578, 0.359491993662317, 0.061707829781650375, 0.7168557726149101, 0.1264498919368563]
1499190 [0.6606886466019546, 0.1159148125444952, 0.40387623384485793, 0.028308161490068297, 0.7787869515557043, 0.09754398560341981]
1510202 [0.7424580705331525, 0.13145199909329475, 0.43683137840445174, 0.05647733833874624, 0.6989153793461174, 0.127779048765031]
1819907 [0.6633582016951585, 0.10527819819039119, 0.3307842779372604, 0.03246057232408508, 0.6912654951460856, 0.11451715626074521]
2112594 [0.696408957340153, 0.07332831576463128, 0.2580285954031625, 0.02153485496659635, 0.1931235071693692, 0.08345135304600737]
2214770 [0.621533949940166, 0.08294602718691801, 0.31731277466079033, 0.03019898894041182, 0.44151651633609235, 0.09777766755211681]
2456898 [0.6745569412415418, 0.11488538448942287, 0.40841974056137376, 0.043479891643430385, 0.796683294346922, 0.1498117459946835]
