,Step,C,H2,CO,CO2,H20,CH4
0,47584.0,0.439,0.088,0.304,0.032,0.627,0.103
1,83409.0,0.495,0.103,0.347,0.026,0.893,0.155
2,143734.0,0.447,0.119,0.39,0.026,0.863,0.143
3,445685.0,0.6,0.091,0.287,0.018,0.515,0.068
4,1174174.0,0.646,0.12,0.418,0.033,0.749,0.163
5,1443363.0,0.705,0.121,0.437,0.046,0.784,0.118
6,1788590.0,0.494,0.096,0.346,0.023,0.771,0.109
7,2946724.0,0.729,0.149,0.489,0.031,0.986,0.194
8,2994802.0,0.773,0.129,0.462,0.063,0.772,0.131
9,3455282.0,0.633,0.13,0.409,0.06,0.948,0.161
