,Step,C,H2,CO,CO2,H20,CH4
0,94493.0,0.733,0.146,0.494,0.031,0.984,0.101
1,499672.0,0.583,0.109,0.352,0.019,0.713,0.089
2,522158.0,0.777,0.099,0.299,0.022,0.398,0.076
3,548356.0,0.709,0.107,0.392,0.058,0.593,0.143
4,1005898.0,0.528,0.12,0.433,0.027,0.961,0.156
5,1213419.0,0.767,0.151,0.472,0.069,0.956,0.129
6,1307181.0,0.603,0.105,0.341,0.038,0.614,0.078
7,1314200.0,0.586,0.084,0.297,0.031,0.427,0.078
8,1339090.0,0.628,0.136,0.455,0.058,0.953,0.107
9,1511902.0,0.756,0.125,0.468,0.046,0.927,0.158
