,Step,C,H2,CO,CO2,H20,CH4
0,429534.0,0.424,0.092,0.317,0.022,0.846,0.104
1,678072.0,0.619,0.129,0.423,0.034,0.83,0.154
2,1960780.0,0.649,0.115,0.352,0.056,0.674,0.144
3,2434730.0,0.697,0.139,0.413,0.035,0.957,0.104
4,3863169.0,0.525,0.115,0.403,0.029,0.97,0.135
5,4023068.0,0.408,0.112,0.345,0.049,0.911,0.086
6,4966821.0,0.523,0.11,0.345,0.042,0.881,0.104
7,5559917.0,0.565,0.116,0.384,0.023,0.867,0.102
8,6143782.0,0.547,0.117,0.388,0.023,0.869,0.087
9,6213772.0,0.681,0.104,0.341,0.029,0.674,0.145
