,Step,C,H2,CO,CO2,H20,CH4
0,110599.0,0.394,0.104,0.379,0.052,0.944,0.098
1,491204.0,0.4,0.11,0.413,0.029,0.967,0.154
2,6209399.0,0.402,0.084,0.287,0.035,0.73,0.096
3,18192096.0,0.403,0.083,0.275,0.042,0.63,0.103
4,18942789.0,0.433,0.096,0.285,0.022,0.753,0.087
5,20286609.0,0.436,0.112,0.418,0.028,0.999,0.141
6,24700118.0,0.42,0.104,0.383,0.024,0.918,0.157
7,29756838.0,0.401,0.111,0.354,0.023,0.922,0.105
8,37862992.0,0.436,0.103,0.343,0.05,0.902,0.094
9,42029606.0,0.396,0.1,0.334,0.042,0.885,0.129
