,Step,C,H2,CO,CO2,H20,CH4
0,110599.0,0.424,0.104,0.379,0.045,0.944,0.098
1,491204.0,0.43,0.11,0.413,0.026,0.967,0.154
2,6209399.0,0.432,0.084,0.287,0.031,0.73,0.096
3,13952401.0,0.423,0.111,0.329,0.055,0.821,0.124
4,17936451.0,0.422,0.087,0.34,0.029,0.777,0.083
5,18192096.0,0.434,0.083,0.275,0.037,0.63,0.103
6,19084054.0,0.394,0.103,0.316,0.028,0.834,0.137
7,20139699.0,0.402,0.118,0.379,0.049,0.87,0.156
8,20286609.0,0.469,0.112,0.418,0.025,0.999,0.141
9,24700118.0,0.452,0.104,0.383,0.021,0.918,0.157
