,Step,C,H2,CO,CO2,H20,CH4
0,147176.0,0.464,0.127,0.375,0.052,0.971,0.165
1,1075828.0,0.627,0.107,0.361,0.057,0.698,0.092
2,1260984.0,0.459,0.11,0.366,0.061,0.953,0.109
3,1280684.0,0.616,0.116,0.401,0.03,0.995,0.102
4,2336430.0,0.634,0.095,0.338,0.05,0.588,0.072
5,3580439.0,0.454,0.07,0.223,0.02,0.452,0.051
6,3966075.0,0.462,0.115,0.413,0.035,0.996,0.131
7,4022274.0,0.528,0.104,0.316,0.053,0.714,0.131
8,4963909.0,0.637,0.085,0.293,0.036,0.466,0.107
9,5244699.0,0.633,0.122,0.429,0.068,0.901,0.176
