,Step,C,H2,CO,CO2,H20,CH4
0,519397.0,0.488,0.104,0.387,0.027,0.891,0.145
1,1429593.0,0.547,0.103,0.326,0.044,0.641,0.12
2,1455114.0,0.522,0.089,0.318,0.042,0.561,0.109
3,4733300.0,0.413,0.045,0.152,0.023,0.16,0.052
4,6387905.0,0.486,0.063,0.209,0.02,0.242,0.057
5,6390221.0,0.439,0.12,0.377,0.028,0.98,0.16
6,9366890.0,0.496,0.089,0.29,0.034,0.453,0.116
7,9639529.0,0.51,0.063,0.224,0.031,0.231,0.064
8,10358029.0,0.548,0.09,0.289,0.031,0.564,0.129
9,10569820.0,0.423,0.055,0.182,0.011,0.272,0.074
