,Step,C,H2,CO,CO2,H20,CH4
0,674214.0,0.582,0.068,0.253,0.026,0.311,0.086
1,719100.0,0.41,0.084,0.306,0.022,0.651,0.078
2,2673245.0,0.441,0.052,0.184,0.027,0.175,0.068
3,3626457.0,0.547,0.108,0.373,0.037,0.98,0.112
4,4455063.0,0.569,0.075,0.283,0.034,0.414,0.065
5,4831793.0,0.573,0.086,0.322,0.029,0.532,0.114
6,6106998.0,0.413,0.096,0.297,0.043,0.782,0.106
7,6590705.0,0.465,0.092,0.278,0.045,0.606,0.1
8,6834341.0,0.498,0.115,0.39,0.033,0.898,0.127
9,6989067.0,0.556,0.091,0.276,0.041,0.491,0.105
