,Step,C,H2,CO,CO2,H20,CH4
0,415732.0,0.51,0.116,0.379,0.032,0.94,0.092
1,442462.0,0.461,0.112,0.351,0.055,0.89,0.139
2,444791.0,0.704,0.135,0.479,0.038,0.982,0.193
3,599103.0,0.681,0.105,0.378,0.061,0.708,0.133
4,642958.0,0.496,0.113,0.368,0.034,0.905,0.166
5,1793959.0,0.539,0.085,0.31,0.043,0.545,0.099
6,2480791.0,0.715,0.087,0.294,0.021,0.371,0.12
7,3147495.0,0.708,0.132,0.427,0.06,0.895,0.176
8,3365393.0,0.474,0.072,0.267,0.04,0.476,0.076
9,3692976.0,0.664,0.068,0.266,0.014,0.27,0.079
