,Step,C,H2,CO,CO2,H20,CH4
0,2087882.0,0.597,0.078,0.23,0.018,0.296,0.1
1,2615149.0,0.46,0.094,0.348,0.027,0.723,0.136
2,3054103.0,0.57,0.094,0.283,0.04,0.521,0.067
3,3125144.0,0.568,0.079,0.27,0.019,0.429,0.068
4,3128565.0,0.512,0.098,0.318,0.051,0.769,0.083
5,3290271.0,0.535,0.12,0.388,0.053,0.957,0.104
6,3682619.0,0.502,0.083,0.277,0.018,0.609,0.105
7,3938189.0,0.498,0.104,0.343,0.041,0.66,0.094
8,3968181.0,0.582,0.124,0.462,0.049,0.976,0.171
9,4464719.0,0.487,0.103,0.314,0.043,0.77,0.12
