,Step,C,H2,CO,CO2,H20,CH4
0,775853.0,0.465,0.085,0.266,0.028,0.547,0.107
1,1078688.0,0.413,0.091,0.28,0.039,0.737,0.079
2,2126236.0,0.497,0.106,0.365,0.033,0.743,0.143
3,2185274.0,0.467,0.084,0.27,0.015,0.501,0.097
4,2864765.0,0.531,0.09,0.274,0.038,0.527,0.064
5,2940431.0,0.533,0.11,0.361,0.055,0.681,0.131
6,2954485.0,0.398,0.105,0.318,0.048,0.796,0.089
7,4300054.0,0.498,0.119,0.401,0.055,0.958,0.123
8,4715805.0,0.41,0.106,0.32,0.04,0.901,0.088
9,4818111.0,0.421,0.097,0.319,0.043,0.858,0.096
