,Step,C,H2,CO,CO2,H20,CH4
0,20286609.0,0.41,0.112,0.418,0.028,0.999,0.141
1,24700118.0,0.396,0.104,0.383,0.024,0.918,0.157
2,37862992.0,0.41,0.103,0.343,0.05,0.902,0.094
3,58934930.0,0.402,0.114,0.394,0.051,0.945,0.138
4,79872576.0,0.408,0.085,0.314,0.043,0.703,0.091
5,20286609.0,0.443,0.112,0.418,0.025,0.999,0.141
6,24700118.0,0.427,0.104,0.383,0.021,0.918,0.157
7,29756838.0,0.408,0.111,0.354,0.02,0.922,0.105
8,31516337.0,0.443,0.099,0.312,0.019,0.693,0.084
9,37862992.0,0.443,0.103,0.343,0.044,0.902,0.094
