,Step,C,H2,CO,CO2,H20,CH4
0,3668441.0,0.482,0.123,0.396,0.032,0.948,0.162
1,5081292.0,0.399,0.061,0.179,0.012,0.32,0.066
2,5108025.0,0.456,0.094,0.314,0.025,0.652,0.11
3,5725708.0,0.469,0.082,0.295,0.038,0.575,0.089
4,11478763.0,0.402,0.102,0.342,0.023,0.87,0.098
5,13549275.0,0.485,0.119,0.379,0.027,0.977,0.148
6,14964166.0,0.498,0.108,0.397,0.035,0.893,0.146
7,17835332.0,0.404,0.067,0.234,0.015,0.369,0.085
8,18821856.0,0.488,0.091,0.282,0.034,0.678,0.082
9,22491411.0,0.458,0.065,0.205,0.03,0.301,0.048
