,Step,C,H2,CO,CO2,H20,CH4
0,110599.0,0.4,0.104,0.379,0.045,0.944,0.098
1,491204.0,0.406,0.11,0.413,0.026,0.967,0.154
2,6209399.0,0.408,0.084,0.287,0.031,0.73,0.096
3,17936451.0,0.398,0.087,0.34,0.029,0.777,0.083
4,18192096.0,0.41,0.083,0.275,0.037,0.63,0.103
5,20286609.0,0.443,0.112,0.418,0.025,0.999,0.141
6,24700118.0,0.427,0.104,0.383,0.021,0.918,0.157
7,29756838.0,0.408,0.111,0.354,0.02,0.922,0.105
8,31516337.0,0.443,0.099,0.312,0.019,0.693,0.084
9,37862992.0,0.443,0.103,0.343,0.044,0.902,0.094
