,Step,C,H2,CO,CO2,H20,CH4
0,110599.0,0.42,0.104,0.379,0.052,0.944,0.098
1,491204.0,0.427,0.11,0.413,0.029,0.967,0.154
2,6209399.0,0.429,0.084,0.287,0.035,0.73,0.096
3,17936451.0,0.418,0.087,0.34,0.033,0.777,0.083
4,18192096.0,0.43,0.083,0.275,0.042,0.63,0.103
5,20139699.0,0.398,0.118,0.379,0.057,0.87,0.156
6,20286609.0,0.465,0.112,0.418,0.028,0.999,0.141
7,24700118.0,0.448,0.104,0.383,0.024,0.918,0.157
8,29756838.0,0.428,0.111,0.354,0.023,0.922,0.105
9,30467955.0,0.448,0.108,0.414,0.04,0.975,0.092
